Date,Open,High,Low,Close,Adj Close,Volume,normolize,diff,order,label,data
2000/1/4,69.649002,69.649002,68.475197,69.649002,40.966042,2.01E+11,-0.306983767,1.565102,0,1,1.565102
2000/1/5,69.649002,71.214104,68.866302,71.214104,41.886589,4.02E+11,-0.275969093,-1.565102,1,1,-1.565102
2000/1/6,70.822899,71.214104,69.649002,69.649002,40.966042,1.98E+11,-0.306983767,-1.956505,2,1,-1.956505
2000/1/7,67.3013,68.475197,66.5186,67.692497,39.815262,2.35E+11,-0.345754636,2.347702,3,1,2.347702
2000/1/10,69.649002,70.431396,68.475197,70.040199,41.196129,2.76E+11,-0.299231654,-1.173897,4,1,-1.173897
2000/1/11,70.822899,71.605202,68.475197,68.866302,40.505672,2.78E+11,-0.322494056,1.956597,5,1,1.956597
2000/1/12,69.2575,70.822899,68.866302,70.822899,41.656498,2.16E+11,-0.283721364,-1.173897,6,1,-1.173897
2000/1/13,70.822899,70.822899,69.649002,69.649002,40.966042,1.47E+11,-0.306983767,1.565102,7,1,1.565102
2000/1/14,70.431396,72.387901,70.040199,71.214104,41.886589,2.88E+11,-0.275969093,1.956497,8,1,1.956497
2000/1/17,74.344398,74.344398,73.170601,73.170601,43.037369,1.55E+11,-0.237198382,-1.173905,9,1,-1.173905
2000/1/18,73.170601,73.170601,71.605202,71.996696,42.346905,1.32E+11,-0.260460943,0,10,1,0
2000/1/19,71.996696,73.170601,71.605202,71.996696,42.346905,1.35E+11,-0.260460943,-0.782592,11,1,-0.782592
2000/1/20,71.996696,71.996696,70.822899,71.214104,41.886589,1.26E+11,-0.275969093,1.564995,12,1,1.564995
2000/1/21,71.214104,72.779099,71.214104,72.779099,42.807098,1.13E+11,-0.244956539,0.782699,13,1,0.782699
2000/1/24,73.561798,74.735603,73.170601,73.561798,43.26746,1.75E+11,-0.229446269,1.956505,14,1,1.956505
2000/1/25,75.518303,75.518303,74.344398,75.518303,44.418236,2.24E+11,-0.1906754,5.086494,15,1,5.086494
2000/1/26,77.865997,80.604797,77.865997,80.604797,47.409996,3.58E+11,-0.089879443,0.7827,16,1,0.7827
2000/1/27,81.387497,82.561401,79.822502,81.387497,47.870369,2.88E+11,-0.074369154,-1.564995,17,-1,-1.564995
2000/1/28,78.6483,79.822502,78.6483,79.822502,46.949871,1.98E+11,-0.105381707,-0.391502,18,-1,-0.391502
2000/1/31,77.474403,79.822502,77.083298,79.431,46.719593,1.68E+11,-0.113139864,-0.391197,19,1,-0.391197
2000/2/1,80.213699,80.213699,78.6483,79.039803,46.489502,1.53E+11,-0.120891977,0,20,1,0
2000/2/2,79.039803,79.039803,79.039803,79.039803,46.489502,0,-0.120891977,0,21,-1,0
2000/2/3,79.039803,79.039803,79.039803,79.039803,46.489502,0,-0.120891977,0,22,-1,0
2000/2/4,79.039803,79.039803,79.039803,79.039803,46.489502,0,-0.120891977,0,23,-1,0
2000/2/7,79.039803,79.039803,79.039803,79.039803,46.489502,0,-0.120891977,0,24,-1,0
2000/2/8,79.039803,79.039803,79.039803,79.039803,46.489502,0,-0.120891977,3.521598,25,-1,3.521598
2000/2/9,83.735199,83.735199,80.996399,82.561401,48.560837,2.53E+11,-0.051106613,1.173798,26,-1,1.173798
2000/2/10,81.778702,84.126404,80.996399,83.735199,49.251236,1.78E+11,-0.027846172,1.956604,27,-1,1.956604
2000/2/11,84.909103,86.865601,84.126404,85.691803,50.402069,2.15E+11,0.010926659,-1.956604,28,-1,-1.956604
2000/2/14,85.300201,85.300201,83.735199,83.735199,49.251236,1.40E+11,-0.027846172,0.391205,29,-1,0.391205
2000/2/15,83.735199,84.909103,82.952499,84.126404,49.481331,1.05E+11,-0.0200939,-0.782303,30,-1,-0.782303
2000/2/16,84.126404,84.517502,83.344101,83.344101,49.021202,79352307611,-0.035596323,-0.7827,31,-1,-0.7827
2000/2/17,82.561401,83.344101,82.170197,82.561401,48.560837,1.16E+11,-0.051106613,-1.173904,32,-1,-1.173904
2000/2/18,82.952499,83.735199,80.996399,81.387497,47.870369,1.22E+11,-0.074369154,-5.086899,33,-1,-5.086899
2000/2/21,79.431,79.431,76.300598,76.300598,44.878368,1.54E+11,-0.175173136,0,34,1,0
2000/2/22,75.126701,77.474403,74.344398,76.300598,44.878368,1.68E+11,-0.175173136,-0.391197,35,-1,-0.391197
2000/2/23,76.300598,76.300598,75.518303,75.909401,44.64827,73892579191,-0.182925249,0.391197,36,-1,0.391197
2000/2/24,76.300598,77.083298,75.909401,76.300598,44.878368,83371091714,-0.175173136,1.565399,37,-1,1.565399
2000/2/25,76.300598,78.257103,76.300598,77.865997,45.799099,1.66E+11,-0.144152577,0,38,-1,0
2000/2/28,77.865997,77.865997,77.865997,77.865997,45.799099,0,-0.144152577,0.782303,39,-1,0.782303
2000/2/29,78.257103,79.431,78.257103,78.6483,46.259228,98749279301,-0.128650154,1.956497,40,-1,1.956497
2000/3/1,80.213699,80.604797,79.822502,80.604797,47.409996,90504901989,-0.089879443,-1.173797,41,-1,-1.173797
2000/3/2,80.996399,81.387497,79.431,79.431,46.719593,68745682875,-0.113139864,0,42,-1,0
2000/3/3,79.039803,79.822502,79.039803,79.431,46.719593,58129346964,-0.113139864,-1.173897,43,-1,-1.173897
2000/3/6,79.822502,80.213699,77.865997,78.257103,46.029137,72312702670,-0.136402267,-0.391106,44,-1,-0.391106
2000/3/7,77.474403,78.6483,77.083298,77.865997,45.799099,83737455273,-0.144152577,-0.391594,45,-1,-0.391594
2000/3/8,77.474403,77.865997,76.692101,77.474403,45.568771,64819040283,-0.151912557,0.7827,46,1,0.7827
2000/3/9,77.474403,78.257103,77.474403,78.257103,46.029137,71897777901,-0.136402267,-1.956505,47,1,-1.956505
2000/3/10,78.6483,79.039803,75.909401,76.300598,44.878368,99978337610,-0.175173136,-5.086494,48,1,-5.086494
2000/3/13,74.344398,74.344398,71.214104,71.214104,41.886589,2.32E+11,-0.275969093,1.564995,49,1,1.564995
2000/3/14,71.214104,73.170601,70.431396,72.779099,42.807098,1.45E+11,-0.244956539,-1.173897,50,1,-1.173897
2000/3/15,72.387901,73.561798,71.214104,71.605202,42.116638,1.54E+11,-0.268218942,0.391494,51,1,0.391494
2000/3/16,70.040199,72.779099,67.3013,71.996696,42.346905,2.33E+11,-0.260460943,2.347702,52,1,2.347702
2000/3/17,72.387901,74.344398,71.605202,74.344398,43.727768,2.68E+11,-0.213937961,-2.347702,53,-1,-2.347702
2000/3/20,71.996696,71.996696,71.996696,71.996696,42.346905,21190094104,-0.260460943,4.303902,54,1,4.303902
2000/3/21,69.649002,76.692101,69.649002,76.300598,44.878368,4.48E+11,-0.175173136,-1.173897,55,-1,-1.173897
2000/3/22,75.126701,77.474403,73.952904,75.126701,44.187904,2.47E+11,-0.198435539,3.521599,56,1,3.521599
2000/3/23,75.909401,79.431,75.518303,78.6483,46.259228,2.80E+11,-0.128650154,-1.173897,57,-1,-1.173897
2000/3/24,78.6483,78.6483,76.692101,77.474403,45.568771,1.90E+11,-0.151912557,5.086998,58,1,5.086998
2000/3/27,78.257103,82.561401,78.257103,82.561401,48.560837,2.58E+11,-0.051106613,-0.782699,59,-1,-0.782699
2000/3/28,82.952499,83.735199,80.996399,81.778702,48.10046,1.82E+11,-0.066616882,-1.9562,60,-1,-1.9562
2000/3/29,81.387497,81.387497,79.822502,79.822502,46.949871,1.06E+11,-0.105381707,1.564995,61,1,1.564995
2000/3/30,79.822502,82.952499,79.822502,81.387497,47.870369,2.28E+11,-0.074369154,-1.173798,62,-1,-1.173798
2000/3/31,80.996399,82.170197,80.213699,80.213699,47.179966,1.27E+11,-0.097629595,0,63,-1,0
2000/4/3,80.213699,80.213699,80.213699,80.213699,47.179966,0,-0.097629595,0,64,-1,0
2000/4/4,80.213699,80.213699,80.213699,80.213699,47.179966,0,-0.097629595,1.173798,65,-1,1.173798
2000/4/5,78.6483,82.170197,78.6483,81.387497,47.870369,1.83E+11,-0.074369154,-2.347694,66,-1,-2.347694
2000/4/6,81.387497,82.561401,79.039803,79.039803,46.489502,1.46E+11,-0.120891977,-0.7827,67,-1,-0.7827
2000/4/7,79.822502,80.213699,78.257103,78.257103,46.029137,1.11E+11,-0.136402267,3.913094,68,-1,3.913094
2000/4/10,78.6483,83.344101,78.257103,82.170197,48.33073,2.02E+11,-0.058858864,-1.956498,69,-1,-1.956498
2000/4/11,81.387497,81.387497,80.213699,80.213699,47.179966,1.18E+11,-0.097629595,-1.956596,70,-1,-1.956596
2000/4/12,79.039803,79.822502,78.257103,78.257103,46.029137,1.28E+11,-0.136402267,-3.130402,71,-1,-3.130402
2000/4/13,74.344398,75.909401,74.344398,75.126701,44.187904,2.49E+11,-0.198435539,-2.347602,72,-1,-2.347602
2000/4/14,72.387901,74.344398,72.387901,72.779099,42.807098,2.39E+11,-0.244956539,-2.7389,73,1,-2.7389
2000/4/17,68.866302,70.431396,68.475197,70.040199,41.196129,2.08E+11,-0.299231654,3.912705,74,1,3.912705
2000/4/18,73.952904,73.952904,72.387901,73.952904,43.497501,2.18E+11,-0.22169596,-2.347702,75,-1,-2.347702
2000/4/19,75.909401,75.909401,71.214104,71.605202,42.116638,1.46E+11,-0.268218942,1.173897,76,1,1.173897
2000/4/20,71.605202,72.779099,70.431396,72.779099,42.807098,95074572650,-0.244956539,0,77,-1,0
